id AfectTipoAct,id Amenaza,tipoAfecAmen,id Tipo Activo,Abrebiartura
1,1,1,258,HW
2,1,1,323,Media
3,1,1,344,AUX
4,1,1,360,L
5,2,1,258,HW
6,2,1,323,Media
7,2,1,344,AUX
8,2,1,360,L
9,3,1,258,HW
10,3,1,323,Media
11,3,1,344,AUX
12,3,1,360,L
13,4,1,258,HW
14,4,1,323,Media
15,4,1,344,AUX
16,4,1,360,L
17,5,1,258,HW
18,5,1,323,Media
19,5,1,344,AUX
20,5,1,360,L
21,6,1,258,HW
22,6,1,323,Media
23,6,1,344,AUX
24,6,1,360,L
25,7,1,258,HW
26,7,1,323,Media
27,7,1,344,AUX
28,8,1,258,HW
29,8,1,323,Media
30,8,1,344,AUX
31,9,1,225,SW
32,9,1,258,HW
33,9,1,323,Media
34,9,1,344,AUX
35,10,1,258,HW
36,10,1,323,Media
37,10,1,344,AUX
38,11,1,258,HW
39,11,1,323,Media
40,11,1,344,AUX
41,12,1,305,COM
42,13,1,344,AUX
43,14,1,323,Media
44,15,1,258,HW
45,15,1,323,Media
46,15,1,344,AUX
47,15,1,360,L
48,16,1,110,D
49,16,1,129,keys
50,16,1,146,S
51,16,1,225,SW
52,16,1,323,Media
53,17,1,110,D
54,17,1,129,keys
55,17,1,146,S
56,17,1,225,SW
57,17,1,258,HW
58,17,1,305,COM
59,17,1,323,Media
60,18,1,122,D.log
61,19,1,117,D.conf
62,20,1,373,P
63,21,1,225,SW
64,22,1,146,S
65,22,1,225,SW
66,22,1,305,COM
67,23,1,146,S
68,23,1,225,SW
69,23,1,305,COM
70,25,1,110,D
71,25,1,129,keys
72,25,1,146,S
73,25,1,225,SW
74,25,1,305,COM
75,25,1,323,Media
76,25,1,360,L
77,26,1,110,D
78,26,1,129,keys
79,26,1,146,S
80,26,1,225,SW
81,26,1,305,COM
82,26,1,323,Media
83,26,1,360,L
84,27,1,110,D
85,27,1,129,keys
86,27,1,146,S
87,27,1,225,SW
88,27,1,305,COM
89,27,1,323,Media
90,27,1,360,L
91,27,1,373,P
92,28,1,225,SW
93,29,1,225,SW
94,30,1,258,HW
95,30,1,323,Media
96,30,1,344,AUX
97,31,1,146,S
98,31,1,258,HW
99,31,1,305,COM
100,32,1,258,HW
101,32,1,323,Media
102,32,1,344,AUX
103,33,1,373,P
104,34,1,122,D.log
105,35,1,122,D.log
106,36,1,110,D
107,36,1,129,keys
108,36,1,146,S
109,36,1,225,SW
110,36,1,305,COM
111,37,1,110,D
112,37,1,129,keys
113,37,1,146,S
114,37,1,225,SW
115,37,1,258,HW
116,37,1,305,COM
117,38,1,146,S
118,38,1,225,SW
119,38,1,258,HW
120,38,1,305,COM
121,38,1,323,Media
122,38,1,344,AUX
123,38,1,360,L
124,39,1,225,SW
125,40,1,146,S
126,40,1,225,SW
127,40,1,305,COM
128,41,1,146,S
129,41,1,225,SW
130,41,1,305,COM
131,42,1,110,D
132,42,1,129,keys
133,42,1,146,S
134,42,1,225,SW
135,42,1,258,HW
136,42,1,305,COM
137,42,1,323,Media
138,42,1,344,AUX
139,42,1,360,L
140,43,1,305,COM
141,44,1,146,S
142,44,1,122,D.log
143,45,1,305,COM
144,46,1,110,D
145,46,1,129,keys
146,46,1,146,S
147,46,1,225,SW
148,46,1,305,COM
149,46,1,323,Media
150,46,1,360,L
151,47,1,110,D
152,47,1,129,keys
153,47,1,146,S
154,47,1,225,SW
155,47,1,323,Media
156,47,1,360,L
157,48,1,110,D
158,48,1,129,keys
159,48,1,146,S
160,48,1,225,SW
161,48,1,305,COM
162,48,1,323,Media
163,48,1,360,L
164,49,1,225,SW
165,50,1,258,HW
166,50,1,323,Media
167,50,1,344,AUX
168,51,1,146,S
169,51,1,258,HW
170,51,1,305,COM
171,52,1,258,HW
172,52,1,323,Media
173,52,1,344,AUX
174,53,1,258,HW
175,53,1,323,Media
176,53,1,344,AUX
177,53,1,360,L
178,54,1,360,L
179,55,1,373,P
180,56,1,373,P
181,57,1,373,P
182,25,2,110,D
183,26,2,110,D
184,27,2,110,D
185,36,2,110,D
186,37,2,110,D
187,42,2,110,D
188,25,2,117,D.conf
189,27,2,117,D.conf
190,19,2,117,D.conf
191,37,2,117,D.conf
192,42,2,117,D.conf
193,35,2,117,D.conf
194,27,2,122,D.log
195,18,2,122,D.log
196,34,2,122,D.log
197,25,2,129,keys
198,26,2,129,keys
199,27,2,129,keys
200,36,2,129,keys
201,37,2,129,keys
202,42,2,129,keys
203,16,2,151,S.prov
204,17,2,151,S.prov
205,25,2,151,S.prov
206,26,2,151,S.prov
207,27,2,151,S.prov
208,31,2,151,S.prov
209,36,2,151,S.prov
210,37,2,151,S.prov
211,38,2,151,S.prov
212,42,2,151,S.prov
213,44,2,151,S.prov
214,46,2,151,S.prov
215,47,2,151,S.prov
216,48,2,151,S.prov
217,51,2,151,S.prov
218,13,2,186,S.3rd
219,25,2,186,S.3rd
220,26,2,186,S.3rd
221,27,2,186,S.3rd
222,36,2,186,S.3rd
223,44,2,186,S.3rd
224,46,2,186,S.3rd
225,47,2,186,S.3rd
226,48,2,186,S.3rd
227,51,2,186,S.3rd
228,12,2,187,S.3rd.ISP
229,13,2,187,S.3rd.ISP
230,12,2,188,S.3rd.comms
231,13,2,188,S.3rd.comms
232,9,2,225,SW
233,21,2,225,SW
234,28,2,225,SW
235,29,2,225,SW
236,39,2,225,SW
