Id Amenaza,Codigo,Nombre Amenaza,Tipo de amenaza,Descripccion,
1,N.1,Fuego,1,Incendios: posibilidad de que el fuego acabe con recursos del sistema.,
2,N.2,Daños por agua,1,Inundaciones: posibilidad de que el agua acabe con recursos del sistema,
3,N.*,Desastres naturales,1,"Otros incidentes que se producen sin intervención humana: rayo, tormenta eléctrica, terremoto, ciclones, avalancha, corrimiento de tierras, .",
4,I.1,Fuego,2,incendio: posibilidad de que el fuego acabe con los recursos del sistema.,
5,I.2,Daños por agua,2,"escapes, fugas, inundaciones: posibilidad de que el agua acabe con los recursos del sistema",
6,I.*,Desastres industriales,2,"otros desastres debidos a la actividad humana: explosiones, derrumbes, ...",
7,I.3,Contaminación mecánica,2,"vibraciones, polvo, suciedad, ...",
8,I.4,Contaminación electromagnética,2,"interferencias de radio, campos magnéticos, luz ultravioleta, ...",
9,I.5,Avería de origen físico o lógico,2,fallos en los equipos y/o fallos en los programas. Puede ser debida a un defecto de origen o sobrevenida durante el funcionamiento del sistema.,
10,I.6,Corte del suministro eléctrico,2,cese de la alimentación de potencia o electricidad,
11,I.7,Condiciones inadecuadas de temperatura o humedad,2,"deficiencias en la aclimatación de los locales, excediendo los márgenes de trabajo de los equipos: excesivo calor, excesivo frío, exceso de humedad, ...",
12,I.8,Fallo de servicios de comunicaciones,2,"cese de la capacidad de transmitir datos de un sitio a otro. Típicamente se debe a la destrucción física de los medios físicos de transporte o a la detención de los centros de conmutación, sea por destrucción, detención o simple incapacidad para atender al tráfico presente.",
13,I.9,Interrupción de otros servicios y suministros esenciales,2,"otros servicios o recursos de los que depende la operación de los equipos; por ejemplo, papel para las impresoras, toner, refrigerante, ...",
14,I.10,Degradación de los soportes de almacenamiento de la informacion,2,como consecuencia del paso del tiempo,
15,I.11,Emanaciones electromagnéticas,2,Prácticamente todos los dispositivos electrónicos emiten radiaciones al exterior que pudieran ser interceptadas por otros equipos (receptores de radio) derivándose una fuga de información.,
16,E.1,Errores de los usuarios,3,"equivocaciones de las personas cuando usan los servicios, datos, etc.",
17,E.2,Errores del administrador,3,equivocaciones de personas con responsabilidades de instalación y operación,
18,E.3,Errores de monitorizacion,3,"inadecuado registro de actividades: falta de registros, registros incompletos, registros incorrectamente fechados, registros incorrectamente atrib",
19,E.4,Errores de configuracion,3,"introducción de datos de configuración erróneos. Prácticamente todos los activos dependen de su configuración y ésta de la diligencia del administrador: privilegios de acceso, flujos de actividades, registro de actividad, encaminamiento,",
20,E.7,Deficiencias en la organizacion,2,"cuando no está claro quién tiene que hacer exactamente qué y cuándo, incluyendo tomar medidas sobre los activos o informar a la jerarquía de gestión. Acciones descoordinadas, errores por omisión, etc",
21,E.8,Difusión de software dañino,3,"propagación inocente de virus, espías (spyware), gusanos, troyanos, bombas lógicas, etc.",
22,E.9,Errores de [re-]encaminamiento,2,"envío de información a través de un sistema o una red usando, accidentalmente, una ruta incorrecta que lleve la información a donde o por donde no es debido; puede tratarse de mensajes entre personas, entre procesos o entre unos y otros. Es particularmente destacable el caso de que el error de encaminamiento suponga un error de entrega, acabando la información en manos de quien no se espera.",
23,E.10,Errores de secuencia,2,alteración accidental del orden de los mensajes transmitidos.,
24,E.14,Escapes de información,3,"la información llega accidentalmente al conocimiento de personas que no deberían tener conocimiento de ella, sin que la información en sí misma se vea alterada.",
25,E.15,Alteracion accidental de la informacion,3,"alteración accidental de la información. Esta amenaza sólo se identifica sobre datos en general, pues cuando la información está en algún soporte informático, hay amenazas específicas.",
26,E.18,Destrucción de información,3,"pérdida accidental de información. Esta amenaza sólo se identifica sobre datos en general, pues cuando la información está en algún soporte informático, hay amenazas específicas.",
27,E.19,Fugas de información,3,"revelación por indiscreción. Incontinencia verbal, medios electrónicos, soporte papel, etc.",
28,E.20,Vulnerabilidades de los programas (software),2,defectos en el código que dan pie a una operación defectuosa sin intención por parte del usuario pero con consecuencias sobre la integridad de los datos o la capacidad misma de operar.,
29,E.21,Errores de mantenimiento / actualización de programas (software),2,defectos en los procedimientos o controles de actualización del código que permiten que sigan utilizándose programas con defectos conocidos y reparados por el fabricante.,
30,E.23,Errores de mantenimiento / actualización de equipos (hardware),2,defectos en los procedimientos o controles de actualización de los equipos que permiten que sigan utilizándose más allá del tiempo nominal de uso.,
31,E.24,Caída del sistema por agotamiento de recursos,2,la carencia de recursos suficientes provoca la caída del sistema cuando la carga de trabajo es desmesurada.,
32,E.25,Pérdida de equipos,3,"la pérdida de equipos provoca directamente la carencia de un medio para prestar los servicios, es decir una indisponibilidad. Se puede perder todo tipo de equipamiento, siendo la pérdida de equipos y soportes de información los más habituales. En el caso de equipos que hospedan datos, además se puede sufrir una fuga de información",
33,E.28,Indisponibilidad del personal,3,"ausencia accidental del puesto de trabajo: enfermedad, alteraciones del orden público, guerra bacteriológica, ...",
34,A.3,Manipulación de los registros de actividad (log),4,,
35,A.4,Manipulación de la configuración,4,"prácticamente todos los activos dependen de su configuración y ésta de la diligencia del administrador: privilegios de acceso, flujos de actividades, registro de actividad, encaminamiento, etc.",
36,A.5,Suplantación de la identidad del usuario,4,"escripción: cuando un atacante consigue hacerse pasar por un usuario autorizado, disfruta de los privilegios de este para sus fines propios. Esta amenaza puede ser perpetrada por personal interno, por personas ajenas a la Organización o por personal contratado temporalmente.",
37,A.6,Abuso de privilegios de acceso,3,"cada usuario disfruta de un nivel de privilegios para un determinado propósito; cuando un usuario abusa de su nivel de privilegios para realizar tareas que no son de su competencia, hay problemas.","puede tratarse de mensajes entre personas, entre procesos o entre unos y otros. Un atacante puede forzar un mensaje para circular a trav�s de un nodo determinado de la red donde puede ser interceptado. Es particularmente destacable el caso de que el ataque de encaminamiento lleve a una entrega fraudulenta, acabando la informaci�n en manos de quien no debe."""
38,A.7,Uso no previsto,3,"utilización de los recursos del sistema para fines no previstos, típicamente de interés personal: juegos, consultas personales en Internet, bases de datos personales, programas personales, almacenamiento de datos personales, etc.",
39,A.8,Difusión de software dañino,4,"propagación intencionada de virus, espías (spyware), gusanos, troyanos, bombas lógicas, etc",
40,A.9,[Re-]encaminamiento de mensajes,2,"envío de información a un destino incorrecto a través de un sistema o una red, que llevan la información a donde o por donde no es debido; puede tratarse de mensajes entre personas, entre procesos o entre unos y otros. Un atacante puede forzar un mensaje para circular a través de un nodo determinado de la red donde puede ser interceptado. Es particularmente destacable el caso de que el ataque de encaminamiento lleve a una entrega fraudulenta, acabando la información en manos de quien no debe.",
41,A.10,Alteración de secuencia,2,"alteración del orden de los mensajes transmitidos. Con ánimo de que el nuevo orden altere el significado del conjunto de mensajes, perjudicando a la integridad de los datos afectados.",
42,A.11,Acceso no autorizado,4,"el atacante consigue acceder a los recursos del sistema sin tener autorización para ello, típicamente aprovechando un fallo del sistema de identificación y autorización.",
43,A.12,Análisis de tráfico,4,"el atacante, sin necesidad de entrar a analizar el contenido de las comunicaciones, es capaz de extraer conclusiones a partir del análisis del origen, destino, volumen y frecuencia de los intercambios.",
44,A.13,Repudio,4,negación a posteriori de actuaciones o compromisos adquiridos en el pasado. Repudio de origen: negación de ser el remitente u origen de un mensaje o comunicación. Repudio de recepción: negación de haber recibido un mensaje o comunicación. Repudio de entrega: negación de haber recibido un mensaje p,
45,A.14,Interceptación de información (escucha),4,"el atacante llega a tener acceso a información que no le corresponde, sin que la información en sí misma se vea alterada.",
46,A.15,Modificación deliberada de la información,4,"alteración intencional de la información, con ánimo de obtener un beneficio o causar un perjuicio.",
47,A.18,Destrucción de información,4,"eliminación intencional de información, con ánimo de obtener un beneficio o causar un perjuicio.",
48,A.19,Divulgación de información,4,revelación de información.,
49,A.22,Manipulación de programas,4,"alteración intencionada del funcionamiento de los programas, persiguiendo un beneficio indirecto cuando una persona autorizada lo utiliza.",
50,A.23,Manipulación de los equipos,4,"alteración intencionada del funcionamiento de los programas, persiguiendo un beneficio indirecto cuando una persona autorizada lo utiliza.",
51,A.24,Denegación de servicio,4,la carencia de recursos suficientes provoca la caída del sistema cuando la carga de trabajo es desmesurada.,
52,A.25,Robo,4,"la sustracción de equipamiento provoca directamente la carencia de un medio para prestar los servicios, es decir una indisponibilidad. El robo puede afectar a todo tipo de equipamiento, siendo el robo de equipos y el robo de soportes de información los más habituales. El robo puede realizarlo personal interno, personas ajenas a la Organización o personas contratadas de forma temporal, lo que establece diferentes grados de facilidad para acceder al objeto sustraído y diferentes consecuencias. En el caso de equipos que hospedan datos, además se puede sufrir una fuga de información.",
53,A.26,Ataque destructivo,4,"vandalismo, terrorismo, acción militar, ... Esta amenaza puede ser perpetrada por personal interno, por personas ajenas a la Organización o por personas contratadas de forma temporal.",
54,A.27,Ocupación enemiga,4,cuando los locales han sido invadidos y se carece de control sobre los propios medios de trabajo.,
55,A.28,Indisponibilidad del personal,3,"ausencia deliberada del puesto de trabajo: como huelgas, absentismo laboral, bajas no justificadas, bloqueo de los accesos, ..",
56,A.29,Extorsión,4,"presión que, mediante amenazas, se ejerce sobre alguien para obligarle a obrar en determinado sentido.",
57,A.30,Ingeniería social (picaresca),4,abuso de la buena fe de las personas para que realicen actividades que interesan a un tercero.,
